Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,-0.0103440198515113,0.00278990141042678,0.307992605321707,0,0,0,5.26325366509133,0.021935062758029,-4.01751561825356E-06,-1.47975198131455E-06,0.0231941861217007,-8.31653282128846E-06,0.0148943720049105,0,0,0,0,0,0,package://cw6/meshes/Base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw6/meshes/Base.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0666875210853818,-0.0256174029954352,0.0272583251967587,0,0,0,0.26437001106024,3.20746276473134E-05,-1.44118283521323E-07,-6.30853084344598E-08,6.22704126338856E-05,-2.01894652764193E-07,6.28519936954001E-05,0,0,0,0,0,0,package://cw6/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw6/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,0.19592,-0.40083,-0.029062,2.834,0,3.1416,Base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.012315724574073,-1.38777878078145E-17,0,0,0,0,0.193585420779862,0.000253081141332254,-5.88092833198904E-37,5.1845054750851E-21,0.000136818598566517,7.17557753438369E-37,0.000136818598566517,0,0,0,0,0,0,package://cw6/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://cw6/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.00041099,-0.047479,0.052309,-1.8784,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0724473276378504,-0.0316832521314764,0.0253402400459296,0,0,0,0.26437001106024,3.20746276473134E-05,1.4411828352133E-07,6.30853084344787E-08,6.22704126338856E-05,-2.01894652764197E-07,6.28519936954002E-05,0,0,0,0,0,0,package://cw6/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw6/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.22416,-0.43952,-0.029062,2.834,0,0,Base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.012315724574073,0,0,0,0,0,0.193585420779862,0.000253081141332254,-9.44297928840746E-22,9.68305644339428E-21,0.000136818598566517,1.01643953670516E-20,0.000136818598566517,0,0,0,0,0,0,package://cw6/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://cw6/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0.0061708,-0.028286,0.058405,-0.69943,0,3.1416,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,0.0754022136877308,-0.0206011352566388,0.0126264314730555,0,0,0,0.197009126147877,1.68802738687172E-05,3.27682936967558E-21,2.12640293441672E-20,5.02184885667569E-05,1.0508875929185E-06,4.72447473350486E-05,0,0,0,0,0,0,package://cw6/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw6/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,0.19592,-0.22083,-0.03772,2.834,0,3.1416,Base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,0.00212675678752455,-0.0320227866410743,-2.77555756156289E-17,0,0,0,0.0337925918529465,9.9077845929407E-06,1.2779398016802E-06,4.06172801784459E-22,2.88462343109061E-06,2.45915781700702E-21,1.17553584577796E-05,0,0,0,0,0,0,package://cw6/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cw6/meshes/LBC.STL,,CastleCatcher-1,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.016816,0.00071326,-1.8784,0,3.1416,LBS,0,1,0,,,,,,,,,,,,
LBW,0.017684275425927,0,0,0,0,0,0.193585420779862,0.000253081141332254,-5.88092833198904E-37,5.1845054750851E-21,0.000136818598566517,7.17557753438369E-37,0.000136818598566517,0,0,0,0,0,0,package://cw6/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://cw6/meshes/LBW.STL,,wheel-1,Origin_LBW,Axis_LBW,LBW,continuous,0.01075,-0.049804,0,0,0,0,LBC,1,0,0,3.1,7,,,,,,,,,,
RBS,0.0754022136877307,-0.0206011352566388,0.0126264314730555,0,0,0,0.197009126147877,1.68802738687172E-05,-2.41413023925079E-21,-1.24098246114624E-21,5.02184885667569E-05,1.05088759291849E-06,4.72447473350486E-05,0,0,0,0,0,0,package://cw6/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw6/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.2184,-0.25245,-0.03772,2.834,0,0,Base,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,0.00212675678752453,-0.0320227866410743,0,0,0,0,0.0337925918529464,9.90778459294068E-06,1.2779398016802E-06,6.13773556783196E-22,2.88462343109061E-06,2.59363956626768E-21,1.17553584577795E-05,0,0,0,0,0,0,package://cw6/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cw6/meshes/RBC.STL,,CastleCatcher-2,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.016816,0.00071326,-1.8784,0,3.1416,RBS,0,1,0,,,,,,,,,,,,
